Марка;Описание;Цена;Город;Ссылка;Тип топлива
Mercedes-Benz GLE-Class 2019;300d AT (245 л.с.) 4Matic;61 518 $;Харьков;https://auto.ria.com/newauto/auto-mercedes-benz-gle-class-1808399.html;Дизтопливо
Mercedes-Benz GLE-Class 2019;300d AT (245 л.с.) 4Matic;61 882 $;Луцк;https://auto.ria.com/newauto/auto-mercedes-benz-gle-class-1549967.html;Дизтопливо
Mercedes-Benz A-Class 2019;base 200d AT (150 л.с.);38 565 $;Харьков;https://auto.ria.com/newauto/auto-mercedes-benz-a-class-1669734.html;Дизтопливо
Mercedes-Benz GLC-Class 2019;base Mercedes-AMG 63S AT (510 л.с.) 4Matic+;89 446 $;Харьков;https://auto.ria.com/newauto/auto-mercedes-benz-glc-class-1806635.html;Бензин
Mercedes-Benz G-Class 2020;700 Brabus G-Ttonic (700 л.с.) 4Matic;314 131 $;Киев;https://auto.ria.com/newauto/auto-mercedes-benz-g-class-1798207.html;Бензин
Mercedes-Benz GLC-Class 2019;base 200d AT (163 л.с.);51 539 $;Харьков;https://auto.ria.com/newauto/auto-mercedes-benz-glc-class-1830580.html;Дизтопливо
Mercedes-Benz A-Class 2018;base 200 AT (163 л.с.);45 000 $;Харьков;https://auto.ria.com/newauto/auto-mercedes-benz-a-class-1793040.html;Бензин
Mercedes-Benz C-Class 2019;base Mercedes-AMG C63s AT (510 л.с.);86 394 $;Харьков;https://auto.ria.com/newauto/auto-mercedes-benz-c-class-1669820.html;Бензин
Mercedes-Benz Maybach 2019;S 650 AT (630 л.с.);224 873 $;Луцк;https://auto.ria.com/newauto/auto-mercedes-benz-maybach-1811395.html;Бензин
Mercedes-Benz A-Class 2019;Mercedes-AMG A45s AT (421 л.с.) 4Matic+;66 514 $;Луцк;https://auto.ria.com/newauto/auto-mercedes-benz-a-class-1826320.html;Бензин
Mercedes-Benz E-Class 2019;Mercedes-AMG E 63S (612 л.с.) 4Matic+;114 513 $;Харьков;https://auto.ria.com/newauto/auto-mercedes-benz-e-class-1711378.html;Бензин
Mercedes-Benz AMG GT 2019;base Mercedes-AMG GT C AT (557 л.с.);187 558 $;Харьков;https://auto.ria.com/newauto/auto-mercedes-benz-amg-gt-1670147.html;Бензин
Mercedes-Benz GLC-Class 2019;base 200d AT (163 л.с.);45 284 $;Луцк;https://auto.ria.com/newauto/auto-mercedes-benz-glc-class-1611092.html;Дизтопливо
Mercedes-Benz V-Class 2019;AVG V 250d AT (190 л.с.) Long;61 060 $;Харьков;https://auto.ria.com/newauto/auto-mercedes-benz-v-class-1756961.html;Дизтопливо
Mercedes-Benz CLS-Class 2019;AMG CLS 53 G-Tronic (435 л.с.) 4Matic+;93 924 $;Луцк;https://auto.ria.com/newauto/auto-mercedes-benz-cls-class-1785552.html;Бензин
Mercedes-Benz AMG GT 2019;GT C AT (557 л.с.);174 506 $;Луцк;https://auto.ria.com/newauto/auto-mercedes-benz-amg-gt-1760969.html;Бензин
Mercedes-Benz A-Class 2019;Mercedes-AMG A45 AT (387 л.с.) 4Matic+;60 571 $;Харьков;https://auto.ria.com/newauto/auto-mercedes-benz-a-class-1830539.html;Бензин
Mercedes-Benz B-Class 2019;base 160 MT (109 л.с.);30 117 $;Луцк;https://auto.ria.com/newauto/auto-mercedes-benz-b-class-1826325.html;Бензин
Mercedes-Benz GLE-Class 2019;580 AT (489 л.с.) 4Matic;82 419 $;Харьков;https://auto.ria.com/newauto/auto-mercedes-benz-gle-class-1830574.html;Бензин
